,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
212,MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,110,WOODLANDS CRESCENT,MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803,737803,24502.3868994378,47627.9217809848,1.44700426493785,103.801889031334,Riverside Primary School
213,ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,Alexandra Primary School
214,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22673.2819890725,31484.0275675338,1.30100441916733,103.785455606827,Fairfield Methodist School (Primary)
215,FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22671.3515878748,31432.7656800412,1.30054082453424,103.785438270044,Fairfield Methodist School (Primary)
216,CHRIST CHURCH SECONDARY SCHOOL,20,WOODLANDS DRIVE 17,CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17 CHRIST CHURCH SECONDARY SCHOOL SINGAPORE 737924,737924,23563.3391703926,45368.1754093207,1.42656780901455,103.793451105242,Christ Church Secondary School
217,SENGKANG GREEN PRIMARY SCHOOL,15,FERNVALE ROAD,SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD SENGKANG GREEN PRIMARY SCHOOL SINGAPORE 797636,797636,32662.8166451091,41639.3984784018,1.39284606680477,103.875217666486,Sengkang Green Primary School
218,TANGLIN SECONDARY SCHOOL,301,WEST COAST ROAD,TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD TANGLIN SECONDARY SCHOOL SINGAPORE 127391,127391,19635.3712416776,32445.8021634929,1.30970169234123,103.758158358303,Tanglin Secondary School
219,VICTORIA SCHOOL,2,SIGLAP LINK,VICTORIA SCHOOL,2 SIGLAP LINK VICTORIA SCHOOL SINGAPORE 448880,448880,38535.0431807386,32336.5539019071,1.3087130270751,103.927980966639,Victoria School
220,VICTORIA SCHOOL,4,SIGLAP LINK,VICTORIA SCHOOL,4 SIGLAP LINK VICTORIA SCHOOL SINGAPORE 448879,448879,38559.1474527884,32291.7732675001,1.30830803913148,103.928197539607,Victoria School
221,LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41238.4638929376,35793.2822557092,1.33997334692002,103.952273949753,Changkat Primary School
