,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
275,CASUARINA PRIMARY SCHOOL,30,PASIR RIS STREET 41,CASUARINA PRIMARY SCHOOL,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,518935,41766.4977676729,39385.5958609674,1.37246063927999,103.957020286115,Casuarina Primary School
276,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20603.3479896449,35547.1996132508,1.3377498622588,103.766855344779,Bukit Timah Primary School
277,BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20600.383664391,35497.4072666373,1.3372995575169,103.766828720721,Bukit Timah Primary School
278,BEDOK SOUTH SECONDARY SCHOOL,1,JALAN LANGGAR BEDOK,BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585,468585,41095.5563319344,34152.6950651146,1.32513655159184,103.950989139261,Bedok South Secondary School
279,RAFFLES GIRLS' PRIMARY SCHOOL,21,HILLCREST ROAD,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,289072,25009.0146507286,34624.3017604016,1.3294042600012,103.806442915912,Raffles Girls' Primary School
280,KHENG CHENG SCHOOL,15,LORONG 3 TOA PAYOH,KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580,319580,29539.1234353296,35501.5835219584,1.3373381935639,103.847148501824,Kheng Cheng School
281,SHG STUDENT CARE (KHENG CHENG SCHOOL),15,LORONG 3 TOA PAYOH,SHG STUDENT CARE (KHENG CHENG SCHOOL),15 LORONG 3 TOA PAYOH SHG STUDENT CARE (KHENG CHENG SCHOOL) SINGAPORE 319580,319580,29538.3022649307,35496.0536824055,1.33728818369962,103.847141122849,Kheng Cheng School
282,JUYING SECONDARY SCHOOL,33,JURONG WEST STREET 91,JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91 JUYING SECONDARY SCHOOL SINGAPORE 649038,649038,11750.8178531462,35655.1627567839,1.3387227734133,103.687310264575,Juying Secondary School
283,CORPORATION PRIMARY SCHOOL,31,JURONG WEST STREET 24,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347,648347,14008.2263862854,37012.3505131546,1.35099779872539,103.707593724342,Corporation Primary School
284,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741,536741,33748.3760953182,36843.4187818952,1.34947276268396,103.884971343143,Methodist Girls' School (Primary)
285,NGEE ANN SECONDARY SCHOOL,1,TAMPINES STREET 32,NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32 NGEE ANN SECONDARY SCHOOL SINGAPORE 529283,529283,41736.2154369308,37396.8577860836,1.35447525755806,103.956747262496,Ngee Ann Secondary School
286,MORNING STAR COMMUNITY SERVICES (ST JOSEPH'S INSTITUTION JUNIOR),3,ESSEX ROAD,MORNING STAR COMMUNITY SERVICES (ST JOSEPH'S INSTITUTION JUNIOR),3 ESSEX ROAD MORNING STAR COMMUNITY SERVICES (ST JOSEPH'S INSTITUTION JUNIOR) SINGAPORE 309331,309331,29370.5121512143,33342.7815418858,1.31781476118551,103.845633334522,St. Joseph's Institution Junior
287,SAINT JOSEPH'S INSTITUTION JUNIOR,3,ESSEX ROAD,SAINT JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD SAINT JOSEPH'S INSTITUTION JUNIOR SINGAPORE 309331,309331,29368.130666255,33333.2553599048,1.31772860986913,103.845611935235,St. Joseph's Institution Junior
288,SAINT GABRIEL'S SECONDARY SCHOOL,24,SERANGOON AVENUE 1,SAINT GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1 SAINT GABRIEL'S SECONDARY SCHOOL SINGAPORE 556140,556140,32760.4506575912,36513.3583147768,1.34648798732177,103.876094163287,St. Gabriel's Secondary School
289,LAKESIDE PRIMARY SCHOOL,161,CORPORATION WALK,LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,618310,15176.2291954523,35597.6143301465,1.33820397704287,103.718089546664,Lakeside Primary School
290,WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL,161,CORPORATION WALK,WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,618310,15177.0483984314,35616.6021022275,1.33837569571569,103.718096899655,Lakeside Primary School
291,AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,Ai Tong School
292,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30,TAMPINES AVENUE 9,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30 TAMPINES AVENUE 9 BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL) SINGAPORE 529565,529565,40848.2810703805,38061.6583322138,1.36048786025607,103.948768900518,Tampines North Primary School
293,TAMPINES NORTH PRIMARY SCHOOL,30,TAMPINES AVENUE 9,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 TAMPINES NORTH PRIMARY SCHOOL SINGAPORE 529565,529565,40843.482626386,38060.3925251346,1.36047641484682,103.948725782833,Tampines North Primary School
294,EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,Edgefield Primary School
295,WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36247.6589920688,42463.4656134974,1.40029783011552,103.907430523653,Edgefield Primary School
296,JURONG SECONDARY SCHOOL,31,YUAN CHING ROAD,JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD JURONG SECONDARY SCHOOL SINGAPORE 618652,618652,15828.7257759329,34692.6761670429,1.33002032220942,103.723952961648,Jurong Secondary School
297,JURONG WEST SECONDARY SCHOOL,61,JURONG WEST STREET 65,JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65 JURONG WEST SECONDARY SCHOOL SINGAPORE 648348,648348,13396.6197330486,35271.7690127064,1.33525634688323,103.702098904443,Jurong Secondary School
298,AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL,250,TAMPINES STREET 12,AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL SINGAPORE 529426,529426,40270.0982013792,36955.7182075791,1.3504863946694,103.943573098509,Tampines Primary School
299,TAMPINES PRIMARY SCHOOL,250,TAMPINES STREET 12,TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 TAMPINES PRIMARY SCHOOL SINGAPORE 529426,529426,40318.132583499,36877.4678724073,1.34977870805929,103.944004684986,Tampines Primary School
300,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30,TAMPINES AVENUE 9,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30 TAMPINES AVENUE 9 BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL) SINGAPORE 529565,529565,40848.2810703805,38061.6583322138,1.36048786025607,103.948768900518,Tampines Primary School
301,TAMPINES NORTH PRIMARY SCHOOL,30,TAMPINES AVENUE 9,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 TAMPINES NORTH PRIMARY SCHOOL SINGAPORE 529565,529565,40843.482626386,38060.3925251346,1.36047641484682,103.948725782833,Tampines Primary School
302,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793,579793,30414.9291181238,36835.1167885177,1.34939813669536,103.855018233311,Kuo Chuan Presbyterian Primary School
303,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),8,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C) SINGAPORE 579793,579793,30335.0289356941,36825.3860857729,1.34931014201944,103.854300279284,Kuo Chuan Presbyterian Primary School
304,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8B,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8B BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579802,579802,30360.5145779848,36877.5882179104,1.34978223750981,103.85452928785,Kuo Chuan Presbyterian Primary School
305,NGEE ANN PRIMARY SCHOOL,344,MARINE TERRACE,NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE NGEE ANN PRIMARY SCHOOL SINGAPORE 449149,449149,37364.5041869488,31984.0027186833,1.30552505910497,103.917463017497,Ngee Ann Primary School
306,GEYLANG METHODIST SCHOOL (PRIMARY),4,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706,389706,33623.1818729434,33318.1223668903,1.31759126757284,103.883845744916,Geylang Methodist School (Primary)
307,BOON LAY SECONDARY SCHOOL,11,JURONG WEST STREET 65,BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354,648354,13373.5768683841,36097.304205548,1.34272216334333,103.701891453912,Boon Lay Secondary School
308,SAINT PATRICK'S SCHOOL,490,EAST COAST ROAD,SAINT PATRICK'S SCHOOL,490 EAST COAST ROAD SAINT PATRICK'S SCHOOL SINGAPORE 429058,429058,37383.9909570096,32244.7789235692,1.30788341871801,103.917638193713,St. Patrick's School
309,SAINT PATRICK'S SCHOOL,498,EAST COAST ROAD,SAINT PATRICK'S SCHOOL,498 EAST COAST ROAD SAINT PATRICK'S SCHOOL SINGAPORE 429102,429102,37287.1967600044,32222.7172864024,1.30768393050916,103.916768445926,St. Patrick's School
310,FUHUA SECONDARY SCHOOL,5,JURONG WEST STREET 41,FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410,649410,16114.5930194063,36571.750703603,1.34701408913756,103.72652089832,Fuhua Secondary School
311,COMMONWEALTH SECONDARY SCHOOL,698,WEST COAST ROAD,COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD COMMONWEALTH SECONDARY SCHOOL SINGAPORE 608784,608784,18241.9409345519,33496.5605151355,1.31920395934801,103.745637393049,Commonwealth Secondary School
312,YISHUN SECONDARY SCHOOL,4,YISHUN STREET 71,YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71 YISHUN SECONDARY SCHOOL SINGAPORE 768516,768516,27493.1783263972,45541.2352395374,1.42813324276086,103.828764316679,Yishun Secondary School
313,YISHUN TOWN SECONDARY SCHOOL,6,YISHUN STREET 21,YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21 YISHUN TOWN SECONDARY SCHOOL SINGAPORE 768610,768610,28531.4577029087,46004.3591205124,1.43232156717386,103.838094226361,Yishun Secondary School
314,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602,BEDOK NORTH AVENUE 4,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVENUE 4 SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL SINGAPORE 469701,469701,40009.9558383394,35212.930261923,1.3347253730189,103.941234868202,St. Anthony's Canossian Primary School
315,NORTH VISTA PRIMARY SCHOOL,20,COMPASSVALE LINK,NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK NORTH VISTA PRIMARY SCHOOL SINGAPORE 544974,544974,34971.4042828046,40531.0861005448,1.38282243016299,103.895961877928,North Vista Primary School
316,ZHONGHUA SECONDARY SCHOOL,13,SERANGOON AVENUE 3,ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3 ZHONGHUA SECONDARY SCHOOL SINGAPORE 556123,556123,32018.8531237943,36725.5640310161,1.34840720846208,103.869430481414,Zhonghua Secondary School
317,MARYMOUNT CONVENT SCHOOL,20,MARYMOUNT ROAD,MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD MARYMOUNT CONVENT SCHOOL SINGAPORE 297754,297754,28745.9144793656,35836.4646800403,1.34036676987375,103.840021064426,Marymount Convent School
318,YEW TEE PRIMARY SCHOOL,10,CHOA CHU KANG STREET 64,YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100,689100,18837.4775282657,42072.9649468437,1.39676600905037,103.750985967346,Yew Tee Primary School
319,PUNGGOL VIEW PRIMARY SCHOOL,9,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,828845,35994.5599585725,42999.5250743832,1.40514582647962,103.905156371376,Punggol View Primary School
320,YUMIN PRIMARY SCHOOL,3,TAMPINES STREET 21,YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21 YUMIN PRIMARY SCHOOL SINGAPORE 529393,529393,41036.7447315324,37044.8092632648,1.35129177656981,103.950461927088,Yumin Primary School
321,SHG STUDENT CARE (YUMIN PRIMARY SCHOOL),3,TAMPINES STREET 21,SHG STUDENT CARE (YUMIN PRIMARY SCHOOL),3 TAMPINES STREET 21 SHG STUDENT CARE (YUMIN PRIMARY SCHOOL) SINGAPORE 529393,529393,41046.6676057065,37047.4549574535,1.35131569890862,103.950551091373,Yumin Primary School
322,UNITY PRIMARY SCHOOL,21,CHOA CHU KANG CRESCENT,UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT UNITY PRIMARY SCHOOL SINGAPORE 688268,688268,18374.1775784306,42746.2521210518,1.40285481877246,103.746822625758,Unity Primary School
323,GAN ENG SENG SCHOOL,1,HENDERSON ROAD,GAN ENG SENG SCHOOL,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561,159561,26933.2813452026,30164.4591011573,1.28907114485773,103.823733673089,Gan Eng Seng School
324,GAN ENG SENG PRIMARY SCHOOL,100,REDHILL CLOSE,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901,158901,26022.2170935348,29780.10807156,1.28559516494962,103.815547410064,Gan Eng Seng School
325,H.S. OF GAN ENG SENG SCHOOL (HISTORIC SITE),,NIL,H.S. OF GAN ENG SENG SCHOOL (HISTORIC SITE),H.S. OF GAN ENG SENG SCHOOL (HISTORIC SITE),NIL,29542.1070715562,28958.9942744393,1.27816932451635,103.847174987401,Gan Eng Seng School
326,POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL,5,WOODLANDS STREET 81,POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL SINGAPORE 738525,738525,22994.5556907868,47078.5773993656,1.44203596557592,103.788339762066,Qihua Primary School
327,QIHUA PRIMARY SCHOOL,5,WOODLANDS STREET 81,QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 QIHUA PRIMARY SCHOOL SINGAPORE 738525,738525,22994.5551156951,47078.5774599016,1.4420359661233,103.788339756898,Qihua Primary School
328,OUTRAM SECONDARY SCHOOL,3,YORK HILL,OUTRAM SECONDARY SCHOOL,3 YORK HILL OUTRAM SECONDARY SCHOOL SINGAPORE 168622,168622,28423.8747252515,29881.6544933487,1.28651357464735,103.837127264403,Outram Secondary School
329,PEI HWA SECONDARY SCHOOL,21,FERNVALE LINK,PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK PEI HWA SECONDARY SCHOOL SINGAPORE 797702,797702,33023.8451944096,41366.172537256,1.39037504993234,103.878461745339,Pei Hwa Secondary School
330,FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,First Toa Payoh Primary School
331,GUANGYANG SECONDARY SCHOOL,8,BISHAN STREET 12,GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807,579807,29879.7115914728,36283.3906797953,1.34440856042912,103.850208933626,Guangyang Secondary School
332,SAINT MARGARET'S SCHOOL (SECONDARY),111,FARRER ROAD,SAINT MARGARET'S SCHOOL (SECONDARY),111 FARRER ROAD SAINT MARGARET'S SCHOOL (SECONDARY) SINGAPORE 259240,259240,25399.434259722,33591.9655932952,1.32006821363359,103.80995114006,St. Margaret's Secondary School
333,CANTONMENT PRIMARY SCHOOL,1,CANTONMENT CLOSE,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256,088256,28739.4305021614,28660.7930697445,1.27547252623201,103.839962631748,Cantonment Primary School
334,EVERGREEN SECONDARY SCHOOL,11,WOODLANDS STREET 83,EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489,738489,23639.7815383626,47018.3404796105,1.44149131273737,103.794137756171,Evergreen Secondary School
335,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY) SINGAPORE 536742,536742,33764.9220583495,37008.7061571106,1.35096755912522,103.885120050588,Paya Lebar Methodist Girls' School (Secondary)
336,SEMBAWANG PRIMARY SCHOOL,10,SEMBAWANG DRIVE,SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE SEMBAWANG PRIMARY SCHOOL SINGAPORE 757715,757715,26633.8508971538,47414.4307650849,1.4450737155262,103.821042374036,Sembawang Primary School
337,BEATTY SECONDARY SCHOOL,1,TOA PAYOH NORTH,BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,318990,30110.2946048304,35993.876840448,1.341790284928,103.852280842345,Beatty Secondary School
338,FUCHUN PRIMARY SCHOOL,23,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,Fuchun Primary School
339,SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL),23,WOODLANDS AVENUE 1,SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL),23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063,739063,21863.36610494,45818.4663008247,1.43063975763573,103.778175192579,Fuchun Primary School
340,GEYLANG METHODIST SCHOOL (SECONDARY),2,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705,389705,33491.3455231488,33324.5040080417,1.31764900474601,103.882661129303,Geylang Methodist School (Secondary)
341,LEARNING STUDIO EDUCARE BY ZENITANT (MONTFORT JUNIOR SCHOOL),52,HOUGANG AVENUE 8,LEARNING STUDIO EDUCARE BY ZENITANT (MONTFORT JUNIOR SCHOOL),52 HOUGANG AVENUE 8 LEARNING STUDIO EDUCARE BY ZENITANT (MONTFORT JUNIOR SCHOOL) SINGAPORE 538786,538786,34279.1743147392,39514.0026060622,1.37362445234082,103.889741457901,Montfort Junior School
342,MONTFORT JUNIOR SCHOOL,52,HOUGANG AVENUE 8,MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8 MONTFORT JUNIOR SCHOOL SINGAPORE 538786,538786,34230.9110763939,39536.1151842475,1.37382444075979,103.889307782925,Montfort Junior School
343,GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40886.8508355999,37702.2195482217,1.35723721393297,103.949115320172,Gongshang Primary School
344,COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40890.1319455709,37688.8239677399,1.35711606790292,103.949144797277,Gongshang Primary School
345,FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,217567,29941.7768185176,32740.5849021059,1.31236867681371,103.850766402965,Farrer Park Primary School
346,TOWNSVILLE PRIMARY SCHOOL,3,ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVENUE 10 TOWNSVILLE PRIMARY SCHOOL SINGAPORE 569730,569730,30282.242298523,38011.0245356523,1.36003263746623,103.853826048327,Townsville Primary School
347,VALOUR PRIMARY SCHOOL,49,PUNGGOL CENTRAL,VALOUR PRIMARY SCHOOL,49 PUNGGOL CENTRAL VALOUR PRIMARY SCHOOL SINGAPORE 828728,828728,35318.1306347065,43186.3631934691,1.40683570215319,103.899078139493,Valour Primary School
348,CHIJ OUR LADY OF GOOD COUNSEL,2C,BURGHLEY DRIVE,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,558979,31415.5340866428,37723.1973494291,1.35742952269615,103.864009397373,CHIJ Our Lady of Good Counsel
349,YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL,2C,BURGHLEY DRIVE,YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,558979,31431.409129547,37785.7194716875,1.35799494859112,103.864152052213,CHIJ Our Lady of Good Counsel
350,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL SINGAPORE 579795,579795,30411.0903508216,36920.6091322787,1.35017129930314,103.854983746416,Kuo Chuan Presbyterian Secondary School
351,MANJUSRI SECONDARY SCHOOL,20,UBI AVENUE 1,MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1 MANJUSRI SECONDARY SCHOOL SINGAPORE 408940,408940,35612.3792342106,34410.6462380104,1.32747123084846,103.901719963831,Manjusri Secondary School
352,SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL),91,BENDEMEER ROAD,SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL),91 BENDEMEER ROAD SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL) SINGAPORE 339948,339948,31564.9272895884,33828.6365878265,1.32220848530291,103.865351336085,Bendemeer Primary School
353,BENDEMEER PRIMARY SCHOOL,91,BENDEMEER ROAD,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948,339948,31570.8074810533,33784.8514976725,1.32181250780475,103.865404167629,Bendemeer Primary School
354,XINMIN SECONDARY SCHOOL,11,HOUGANG AVENUE 8,XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8 XINMIN SECONDARY SCHOOL SINGAPORE 538789,538789,33534.6789847175,39396.1568145063,1.37255884700002,103.88305161385,Xinmin Secondary School
355,LEARNING STUDIO BY ZENITANT (ZHONGHUA PRIMARY SCHOOL),12,SERANGOON AVENUE 4,LEARNING STUDIO BY ZENITANT (ZHONGHUA PRIMARY SCHOOL),12 SERANGOON AVENUE 4 LEARNING STUDIO BY ZENITANT (ZHONGHUA PRIMARY SCHOOL) SINGAPORE 556095,556095,32050.2209249679,38036.2660969216,1.36026072476019,103.869712517383,Zhonghua Primary School
356,ZHONGHUA PRIMARY SCHOOL,12,SERANGOON AVENUE 4,ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4 ZHONGHUA PRIMARY SCHOOL SINGAPORE 556095,556095,32055.7766133798,38029.9161160812,1.36020329705047,103.869762438084,Zhonghua Primary School
357,SHUQUN PRIMARY SCHOOL,8,JURONG WEST STREET 51,SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332,649332,15558.4638573611,36642.4359194618,1.34765311431632,103.721523713379,Shuqun Primary School
358,NAN CHIAU HIGH SCHOOL,20,ANCHORVALE LINK,NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK NAN CHIAU HIGH SCHOOL SINGAPORE 545079,545079,34308.3992032008,41191.5774543677,1.38879582498399,103.890004423764,Nan Chiau High School
359,HAIG GIRLS' SCHOOL,51,KOON SENG ROAD,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072,427072,35744.037941209,32693.6655622385,1.31194344271383,103.902902557195,Haig Girls' School
360,HAIG GIRLS' SCHOOL (U/C),51,KOON SENG ROAD,HAIG GIRLS' SCHOOL (U/C),51 KOON SENG ROAD HAIG GIRLS' SCHOOL (U/C) SINGAPORE 427072,427072,35798.6867555426,32648.9584790319,1.31153911414311,103.903393592097,Haig Girls' School
361,NAN HUA HIGH SCHOOL,41,CLEMENTI AVENUE 1,NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 NAN HUA HIGH SCHOOL SINGAPORE 129956,129956,20793.1335141817,32268.1425985936,1.30809529518605,103.768561446725,Nan Hua High School
